YEAR,ROUND,WSEED,WTEAM,WSCORE,LSEED,LTEAM,LSCORE
2021,6,1,Baylor,86,1,Gonzaga,70
2021,5,1,Gonzaga,93,11,UCLA,90
2021,5,1,Baylor,78,2,Houston,59
2021,4,2,Houston,67,12,Oregon St.,61
2021,4,1,Baylor,81,3,Arkansas,72
2021,4,11,UCLA,51,1,Michigan,49
2021,4,1,Gonzaga,85,6,USC,66
2021,3,2,Houston,62,11,Syracuse,46
2021,3,12,Oregon St.,65,8,Loyola Chicago,58
2021,3,3,Arkansas,72,15,Oral Roberts,70
2021,3,1,Baylor,62,5,Villanova,51
2021,3,11,UCLA,88,2,Alabama,78
2021,3,1,Michigan,76,4,Florida St.,58
2021,3,6,USC,82,7,Oregon,68
2021,3,1,Gonzaga,83,5,Creighton,65
2021,2,2,Houston,63,10,Rutgers,60
2021,2,11,Syracuse,75,3,West Virginia,72
2021,2,12,Oregon St.,80,4,Oklahoma St.,70
2021,2,8,Loyola Chicago,71,1,Illinois,58
2021,2,15,Oral Roberts,81,7,Florida,78
2021,2,3,Arkansas,68,6,Texas Tech,66
2021,2,5,Villanova,84,13,North Texas,61
2021,2,1,Baylor,76,9,Wisconsin,63
2021,2,2,Alabama,96,10,Maryland,77
2021,2,11,UCLA,67,14,Abilene Christian,47
2021,2,4,Florida St.,71,5,Colorado,53
2021,2,1,Michigan,86,8,LSU,78
2021,2,7,Oregon,95,2,Iowa,80
2021,2,6,USC,85,3,Kansas,51
2021,2,5,Creighton,72,13,Ohio,58
2021,2,1,Gonzaga,87,8,Oklahoma,71
2021,1,2,Houston,87,15,Cleveland St.,56
2021,1,10,Rutgers,60,7,Clemson,56
2021,1,3,West Virginia,84,14,Morehead St.,67
2021,1,11,Syracuse,78,6,San Diego St.,62
2021,1,4,Oklahoma St.,69,13,Liberty,60
2021,1,12,Oregon St.,70,5,Tennessee,56
2021,1,8,Loyola Chicago,71,9,Georgia St.,60
2021,1,1,Illinois,78,16,Drexel,49
2021,1,15,Oral Roberts,75,2,Ohio St.,72
2021,1,7,Florida,75,10,Virginia Tech,70
2021,1,3,Arkansas,85,14,Colgate,68
2021,1,6,Texas Tech,65,11,Utah St.,53
2021,1,13,North Texas,78,4,Purdue,69
2021,1,5,Villanova,73,12,Winthrop,63
2021,1,9,Wisconsin,85,8,North Carolina,62
2021,1,1,Baylor,79,16,Hartford,55
2021,1,2,Alabama,68,15,Iona,55
2021,1,10,Maryland,63,7,Connecticut,54
2021,1,14,Abilene Christian,53,3,Texas,52
2021,1,11,UCLA,73,6,BYU,62
2021,1,4,Florida St.,64,13,UNC Greensboro,54
2021,1,5,Colorado,96,12,Georgetown,73
2021,1,8,LSU,76,9,St. Bonaventure,61
2021,1,1,Michigan,82,16,Texas Southern,66
2021,1,2,Iowa,86,15,Grand Canyon,74
2021,1,3,Kansas,93,14,Eastern Washington,84
2021,1,6,USC,72,11,Drake,56
2021,1,13,Ohio,62,4,Virginia,58
2021,1,5,Creighton,63,12,UC Santa Barbara,62
2021,1,8,Oklahoma,72,9,Missouri,68
2021,1,1,Gonzaga,98,16,Norfolk St.,55
2021,0,16,Norfolk St.,54,16,Appalachian St.,53
2021,0,11,Drake,53,11,Wichita St.,52
2021,0,16,Texas Southern,60,16,Mount St. Mary's,52
2021,0,11,UCLA,86,11,Michigan St.,80
2019,6,1,Virginia,85,3,Texas Tech,77
2019,5,3,Texas Tech,61,2,Michigan St.,51
2019,5,1,Virginia,63,4,Auburn,62
2019,4,1,Virginia,80,3,Purdue,75
2019,4,3,Texas Tech,75,1,Gonzaga,69
2019,4,2,Michigan St.,68,1,Duke,67
2019,4,5,Auburn,77,2,Kentucky,71
2019,3,5,Auburn,97,1,North Carolina,80
2019,3,1,Virginia,53,12,Oregon,49
2019,3,1,Gonzaga,72,4,Florida St.,58
2019,3,1,Duke,75,4,Virginia Tech,73
2019,3,3,Purdue,99,2,Tennessee,94
2019,3,2,Kentucky,62,3,Houston,58
2019,3,2,Michigan St.,80,3,LSU,63
2019,3,3,Texas Tech,63,2,Michigan,44
2019,2,2,Michigan,64,10,Florida,49
2019,2,1,North Carolina,81,9,Washington,59
2019,2,1,Virginia,63,9,Oklahoma,51
2019,2,1,Gonzaga,83,9,Baylor,71
2019,2,1,Duke,77,9,UCF,76
2019,2,4,Virginia Tech,67,12,Liberty,58
2019,2,5,Auburn,89,4,Kansas,75
2019,2,3,Purdue,87,6,Villanova,61
2019,2,2,Kentucky,62,7,Wofford,56
2019,2,2,Tennessee,83,10,Iowa,77
2019,2,3,Houston,74,11,Ohio St.,59
2019,2,2,Michigan St.,70,10,Minnesota,50
2019,2,13,UC Irvine,73,12,Oregon,54
2019,2,3,LSU,69,6,Maryland,67
2019,2,3,Texas Tech,78,6,Buffalo,58
2019,2,4,Florida St.,90,12,Murray St.,62
2019,1,12,Liberty,80,5,Mississippi St.,76
2019,1,2,Michigan,74,15,Montana,55
2019,1,2,Kentucky,79,15,Abilene Christian,44
2019,1,1,North Carolina,88,16,Iona,73
2019,1,2,Michigan St.,76,15,Bradley,65
2019,1,11,Ohio St.,62,6,Iowa St.,59
2019,1,1,Virginia,71,16,Gardner Webb,56
2019,1,4,Florida St.,76,13,Vermont,69
2019,1,1,Gonzaga,87,16,Fairleigh Dickinson,49
2019,1,1,Duke,85,16,North Dakota St.,62
2019,1,4,Kansas,87,13,Northeastern,53
2019,1,6,Villanova,61,11,Saint Mary's,57
2019,1,4,Virginia Tech,66,13,Saint Louis,52
2019,1,6,Maryland,79,11,Belmont,77
2019,1,13,UC Irvine,70,4,Kansas St.,64
2019,1,9,Baylor,78,8,Syracuse,69
2019,1,2,Tennessee,77,15,Colgate,70
2019,1,10,Iowa,79,7,Cincinnati,72
2019,1,5,Auburn,78,12,New Mexico St.,77
2019,1,3,Purdue,61,14,Old Dominion,48
2019,1,10,Minnesota,86,7,Louisville,76
2019,1,7,Wofford,84,10,Seton Hall,68
2019,1,9,Oklahoma,95,8,Mississippi,72
2019,1,3,Houston,84,14,Georgia St.,55
2019,1,6,Buffalo,91,11,Arizona St.,74
2019,1,3,LSU,79,14,Yale,74
2019,1,12,Oregon,72,5,Wisconsin,54
2019,1,3,Texas Tech,72,14,Northern Kentucky,57
2019,1,10,Florida,70,7,Nevada,61
2019,1,12,Murray St.,83,5,Marquette,64
2019,1,9,Washington,78,8,Utah St.,61
2019,1,9,UCF,73,8,VCU,58
2019,0,11,Belmont,81,11,Temple,70
2019,0,16,North Dakota St.,78,16,North Carolina Central,74
2019,0,11,Arizona St.,74,11,St. John's,65
2019,0,16,Fairleigh Dickinson,82,16,Prairie View A&M,76
2018,6,1,Villanova,79,3,Michigan,62
2018,5,1,Villanova,95,1,Kansas,79
2018,5,3,Michigan,69,11,Loyola Chicago,57
2018,4,3,Michigan,58,9,Florida St.,54
2018,4,1,Kansas,85,2,Duke,81
2018,4,1,Villanova,71,3,Texas Tech,59
2018,4,11,Loyola Chicago,78,9,Kansas St.,62
2018,3,3,Michigan,99,7,Texas A&M,72
2018,3,9,Florida St.,75,4,Gonzaga,60
2018,3,1,Kansas,80,5,Clemson,76
2018,3,1,Villanova,90,5,West Virginia,78
2018,3,9,Kansas St.,61,5,Kentucky,58
2018,3,2,Duke,69,11,Syracuse,65
2018,3,3,Texas Tech,78,2,Purdue,65
2018,3,11,Loyola Chicago,69,7,Nevada,68
2018,2,5,Kentucky,95,13,Buffalo,75
2018,2,9,Florida St.,75,1,Xavier,70
2018,2,1,Kansas,83,8,Seton Hall,79
2018,2,1,Villanova,81,9,Alabama,58
2018,2,11,Syracuse,55,3,Michigan St.,53
2018,2,5,Clemson,84,4,Auburn,53
2018,2,7,Texas A&M,86,2,North Carolina,65
2018,2,3,Michigan,64,6,Houston,63
2018,2,7,Nevada,75,2,Cincinnati,73
2018,2,3,Texas Tech,69,6,Florida,66
2018,2,4,Gonzaga,90,5,Ohio St.,84
2018,2,2,Duke,87,7,Rhode Island,62
2018,2,9,Kansas St.,50,16,UMBC,43
2018,2,11,Loyola Chicago,63,3,Tennessee,62
2018,2,5,West Virginia,94,13,Marshall,71
2018,2,2,Purdue,76,10,Butler,73
2018,1,10,Butler,79,7,Arkansas,62
2018,1,5,West Virginia,85,12,Murray St.,68
2018,1,3,Michigan,61,14,Montana,47
2018,1,5,Kentucky,78,12,Davidson,73
2018,1,2,North Carolina,84,15,Lipscomb,66
2018,1,3,Michigan St.,82,14,Bucknell,78
2018,1,16,UMBC,74,1,Virginia,54
2018,1,13,Marshall,81,4,Wichita St.,75
2018,1,4,Gonzaga,68,13,UNC Greensboro,64
2018,1,2,Duke,89,15,Iona,67
2018,1,1,Kansas,76,16,Penn,60
2018,1,9,Kansas St.,69,8,Creighton,59
2018,1,6,TCU,57,11,Syracuse,52
2018,1,11,Loyola Chicago,64,6,Miami FL,62
2018,1,13,Buffalo,89,4,Arizona,68
2018,1,1,Villanova,87,16,Radford,61
2018,1,9,Alabama,86,8,Virginia Tech,83
2018,1,5,Clemson,79,12,New Mexico St.,68
2018,1,3,Tennessee,73,14,Wright St.,47
2018,1,2,Cincinnati,68,15,Georgia St.,53
2018,1,4,Auburn,62,13,College of Charleston,58
2018,1,2,Purdue,74,15,Cal St. Fullerton,48
2018,1,7,Texas A&M,73,10,Providence,69
2018,1,1,Xavier,102,16,Texas Southern,83
2018,1,6,Houston,67,11,San Diego St.,65
2018,1,7,Nevada,87,10,Texas,83
2018,1,9,Florida St.,67,8,Missouri,54
2018,1,6,Florida,77,11,St. Bonaventure,62
2018,1,5,Ohio St.,81,12,South Dakota St.,73
2018,1,3,Texas Tech,70,14,Stephen F. Austin,60
2018,1,8,Seton Hall,94,9,North Carolina St.,83
2018,1,7,Rhode Island,83,10,Oklahoma,78
2018,0,11,St. Bonaventure,65,11,UCLA,58
2018,0,16,Radford,71,16,LIU Brooklyn,61
2018,0,16,Texas Southern,64,16,North Carolina Central,46
2018,0,11,Syracuse,60,11,Arizona St.,56
2017,6,1,North Carolina,71,1,Gonzaga,65
2017,5,1,Gonzaga,77,7,South Carolina,73
2017,5,1,North Carolina,77,3,Oregon,76
2017,4,1,North Carolina,75,2,Kentucky,73
2017,4,1,Gonzaga,83,11,Xavier,59
2017,4,3,Oregon,74,1,Kansas,60
2017,4,7,South Carolina,77,4,Florida,70
2017,3,1,North Carolina,92,4,Butler,80
2017,3,2,Kentucky,86,3,UCLA,75
2017,3,1,Gonzaga,61,4,West Virginia,58
2017,3,1,Kansas,98,4,Purdue,66
2017,3,7,South Carolina,70,3,Baylor,50
2017,3,11,Xavier,73,2,Arizona,71
2017,3,3,Oregon,69,7,Michigan,68
2017,3,4,Florida,84,8,Wisconsin,83
2017,2,7,Michigan,73,2,Louisville,69
2017,2,4,West Virginia,83,5,Notre Dame,71
2017,2,1,North Carolina,72,8,Arkansas,65
2017,2,4,Purdue,80,5,Iowa St.,76
2017,2,4,Florida,65,5,Virginia,39
2017,2,2,Kentucky,65,10,Wichita St.,62
2017,2,1,Gonzaga,79,8,Northwestern,73
2017,2,1,Kansas,90,9,Michigan St.,70
2017,2,2,Arizona,69,7,Saint Mary's,60
2017,2,8,Wisconsin,65,1,Villanova,62
2017,2,7,South Carolina,88,2,Duke,81
2017,2,3,UCLA,79,6,Cincinnati,67
2017,2,11,Xavier,91,3,Florida St.,66
2017,2,4,Butler,74,12,Middle Tennessee,65
2017,2,3,Baylor,82,11,USC,78
2017,2,3,Oregon,75,11,Rhode Island,72
2017,1,8,Arkansas,77,9,Seton Hall,71
2017,1,4,West Virginia,86,13,Bucknell,80
2017,1,7,Michigan,92,10,Oklahoma St.,91
2017,1,11,Xavier,76,6,Maryland,65
2017,1,5,Notre Dame,60,12,Princeton,58
2017,1,2,Kentucky,79,15,Northern Kentucky,70
2017,1,1,North Carolina,103,16,Texas Southern,64
2017,1,3,UCLA,97,14,Kent St.,80
2017,1,5,Iowa St.,84,12,Nevada,73
2017,1,5,Virginia,76,12,UNC Wilmington,71
2017,1,3,Florida St.,86,14,Florida Gulf Coast,80
2017,1,1,Gonzaga,66,16,South Dakota St.,46
2017,1,2,Duke,87,15,Troy,65
2017,1,1,Kansas,100,16,UC Davis,62
2017,1,11,Rhode Island,84,6,Creighton,72
2017,1,9,Michigan St.,78,8,Miami FL,58
2017,1,2,Arizona,100,15,North Dakota,82
2017,1,7,Saint Mary's,85,10,VCU,77
2017,1,1,Villanova,76,16,Mount St. Mary's,56
2017,1,3,Baylor,91,14,New Mexico St.,73
2017,1,2,Louisville,78,15,Jacksonville St.,63
2017,1,7,South Carolina,93,10,Marquette,73
2017,1,6,Cincinnati,75,11,Kansas St.,61
2017,1,4,Purdue,80,13,Vermont,70
2017,1,3,Oregon,93,14,Iona,77
2017,1,4,Florida,80,13,East Tennessee St.,65
2017,1,10,Wichita St.,64,7,Dayton,58
2017,1,12,Middle Tennessee,81,5,Minnesota,72
2017,1,4,Butler,76,13,Winthrop,64
2017,1,8,Wisconsin,84,9,Virginia Tech,74
2017,1,11,USC,66,6,SMU,65
2017,1,8,Northwestern,68,9,Vanderbilt,66
2017,0,11,Kansas St.,95,11,Wake Forest,88
2017,0,11,USC,75,11,Providence,71
2017,0,16,Mount St. Mary's,67,16,New Orleans,66
2017,0,16,UC Davis,67,16,North Carolina Central,63
2016,6,2,Villanova,77,1,North Carolina,74
2016,5,1,North Carolina,83,10,Syracuse,66
2016,5,2,Villanova,95,2,Oklahoma,51
2016,4,1,North Carolina,88,6,Notre Dame,74
2016,4,10,Syracuse,68,1,Virginia,62
2016,4,2,Villanova,64,1,Kansas,59
2016,4,2,Oklahoma,80,1,Oregon,68
2016,3,6,Notre Dame,61,7,Wisconsin,56
2016,3,1,North Carolina,101,5,Indiana,86
2016,3,1,Virginia,84,4,Iowa St.,71
2016,3,10,Syracuse,63,11,Gonzaga,60
2016,3,1,Kansas,79,5,Maryland,63
2016,3,2,Villanova,92,3,Miami FL,69
2016,3,2,Oklahoma,77,3,Texas A&M,63
2016,3,1,Oregon,82,4,Duke,68
2016,2,5,Maryland,73,13,Hawaii,60
2016,2,6,Notre Dame,76,14,Stephen F. Austin,75
2016,2,1,North Carolina,85,9,Providence,66
2016,2,5,Indiana,73,4,Kentucky,67
2016,2,1,Virginia,77,9,Butler,69
2016,2,3,Miami FL,65,11,Wichita St.,57
2016,2,11,Gonzaga,82,3,Utah,59
2016,2,1,Kansas,73,9,Connecticut,61
2016,2,2,Villanova,87,7,Iowa,68
2016,2,2,Oklahoma,85,10,VCU,81
2016,2,10,Syracuse,75,15,Middle Tennessee,50
2016,2,3,Texas A&M,92,11,Northern Iowa,88
2016,2,7,Wisconsin,66,2,Xavier,63
2016,2,1,Oregon,69,8,Saint Joseph's,64
2016,2,4,Duke,71,12,Yale,64
2016,2,4,Iowa St.,78,12,Little Rock,61
2016,1,14,Stephen F. Austin,70,3,West Virginia,56
2016,1,5,Maryland,79,12,South Dakota St.,74
2016,1,6,Notre Dame,70,11,Michigan,63
2016,1,4,Kentucky,85,13,Stony Brook,57
2016,1,1,North Carolina,83,16,Florida Gulf Coast,67
2016,1,15,Middle Tennessee,90,2,Michigan St.,81
2016,1,5,Indiana,99,12,Chattanooga,74
2016,1,4,Iowa St.,94,13,Iona,81
2016,1,1,Virginia,81,16,Hampton,45
2016,1,10,VCU,75,7,Oregon St.,67
2016,1,11,Northern Iowa,75,6,Texas,72
2016,1,4,Duke,93,13,UNC Wilmington,85
2016,1,1,Kansas,105,16,Austin Peay,79
2016,1,7,Wisconsin,47,10,Pittsburgh,43
2016,1,3,Miami FL,79,14,Buffalo,72
2016,1,11,Wichita St.,65,6,Arizona,55
2016,1,2,Villanova,86,15,UNC Asheville,56
2016,1,2,Oklahoma,82,15,Cal St. Bakersfield,68
2016,1,9,Connecticut,74,8,Colorado,67
2016,1,12,Little Rock,85,5,Purdue,83
2016,1,3,Texas A&M,92,14,Green Bay,65
2016,1,2,Xavier,71,15,Weber St.,53
2016,1,9,Butler,71,8,Texas Tech,61
2016,1,7,Iowa,72,10,Temple,70
2016,1,1,Oregon,91,16,Holy Cross,52
2016,1,8,Saint Joseph's,78,9,Cincinnati,76
2016,1,3,Utah,80,14,Fresno St.,69
2016,1,13,Hawaii,77,4,California,66
2016,1,9,Providence,70,8,USC,69
2016,1,10,Syracuse,70,7,Dayton,51
2016,1,12,Yale,79,5,Baylor,75
2016,1,11,Gonzaga,68,6,Seton Hall,52
2016,0,11,Wichita St.,70,11,Vanderbilt,50
2016,0,11,Michigan,67,11,Tulsa,62
2016,0,16,Holy Cross,59,16,Southern,55
2016,0,16,Florida Gulf Coast,96,16,Fairleigh Dickinson,65
2015,6,1,Duke,68,1,Wisconsin,63
2015,5,1,Wisconsin,71,1,Kentucky,64
2015,5,1,Duke,81,7,Michigan St.,61
2015,4,1,Wisconsin,85,2,Arizona,78
2015,4,1,Kentucky,68,3,Notre Dame,66
2015,4,7,Michigan St.,76,4,Louisville,70
2015,4,1,Duke,66,2,Gonzaga,52
2015,3,1,Wisconsin,79,4,North Carolina,72
2015,3,3,Notre Dame,81,7,Wichita St.,70
2015,3,1,Kentucky,78,5,West Virginia,39
2015,3,2,Gonzaga,74,11,UCLA,62
2015,3,1,Duke,63,5,Utah,57
2015,3,7,Michigan St.,62,3,Oklahoma,58
2015,3,4,Louisville,75,8,North Carolina St.,65
2015,3,2,Arizona,68,6,Xavier,60
2015,2,4,North Carolina,87,5,Arkansas,78
2015,2,1,Wisconsin,72,8,Oregon,65
2015,2,5,West Virginia,69,4,Maryland,59
2015,2,1,Kentucky,64,8,Cincinnati,51
2015,2,7,Michigan St.,60,2,Virginia,54
2015,2,11,UCLA,92,14,UAB,75
2015,2,7,Wichita St.,78,2,Kansas,65
2015,2,2,Arizona,73,10,Ohio St.,58
2015,2,1,Duke,68,8,San Diego St.,49
2015,2,8,North Carolina St.,71,1,Villanova,68
2015,2,4,Louisville,66,5,Northern Iowa,53
2015,2,6,Xavier,75,14,Georgia St.,67
2015,2,2,Gonzaga,87,7,Iowa,68
2015,2,5,Utah,75,4,Georgetown,64
2015,2,3,Oklahoma,72,11,Dayton,66
2015,2,3,Notre Dame,67,6,Butler,64
2015,1,5,Arkansas,56,12,Wofford,53
2015,1,1,Wisconsin,86,16,Coastal Carolina,72
2015,1,4,Maryland,65,13,Valparaiso,62
2015,1,3,Notre Dame,69,14,Northeastern,65
2015,1,1,Kentucky,79,16,Hampton,56
2015,1,4,North Carolina,67,13,Harvard,65
2015,1,7,Michigan St.,70,10,Georgia,63
2015,1,2,Virginia,79,15,Belmont,67
2015,1,7,Wichita St.,81,10,Indiana,76
2015,1,8,San Diego St.,76,9,St. John's,64
2015,1,10,Ohio St.,75,7,VCU,72
2015,1,2,Gonzaga,86,15,North Dakota St.,76
2015,1,1,Duke,85,16,Robert Morris,56
2015,1,2,Kansas,75,15,New Mexico St.,56
2015,1,2,Arizona,93,15,Texas Southern,72
2015,1,1,Villanova,93,16,Lafayette,52
2015,1,3,Oklahoma,69,14,Albany,60
2015,1,14,Georgia St.,57,3,Baylor,56
2015,1,8,North Carolina St.,66,9,LSU,65
2015,1,14,UAB,60,3,Iowa St.,59
2015,1,4,Louisville,57,13,UC Irvine,55
2015,1,8,Cincinnati,66,9,Purdue,65
2015,1,4,Georgetown,84,13,Eastern Washington,74
2015,1,5,Northern Iowa,71,12,Wyoming,54
2015,1,6,Xavier,76,11,Mississippi,57
2015,1,7,Iowa,83,10,Davidson,52
2015,1,11,UCLA,60,6,SMU,59
2015,1,8,Oregon,79,9,Oklahoma St.,73
2015,1,5,Utah,57,12,Stephen F. Austin,50
2015,1,11,Dayton,66,6,Providence,53
2015,1,5,West Virginia,68,12,Buffalo,62
2015,1,6,Butler,56,11,Texas,48
2015,0,11,Mississippi,94,11,BYU,90
2015,0,11,Dayton,56,11,Boise St.,55
2015,0,16,Hampton,74,16,Manhattan,64
2015,0,16,Robert Morris,81,16,North Florida,77